X	Y	Z
616	-328	14328
48	-648	14228
-124	-756	14620
-308	-940	14228
-240	-808	14412
500	-624	14040
-92	-452	14360
-272	-640	14656
-156	-784	14996
-368	-720	14676
288	-460	14540
-140	-312	14520
-88	-712	14512
-380	-1008	14276
-44	-372	14728
428	-480	14564
100	-352	14828
-280	-528	14060
272	-700	14652
148	-720	14552
348	-448	14292
100	-100	14556
8	-584	14564
-96	-968	14756
56	-820	14824
404	-524	14784
364	-972	14072
196	-496	14100
244	-672	14164
56	-780	14576
164	-484	14912
232	-148	14432
324	-104	14828
-244	-764	14212
-504	-1224	14296
16	-812	14376
400	-944	13980
360	-472	14724
300	-748	14764
388	-304	14452
-468	-476	14084
76	-756	14452
-112	-604	15004
308	-308	14820
-340	-564	14312
-156	-192	14380
-356	-308	14608
568	-264	15392
-176	-900	16140
696	-456	15320
1052	-1416	14500
1980	-876	12984
4260	-552	13360
3064	-2116	13292
6136	-484	14496
5008	-1200	14372
5040	-952	14556
5580	-952	13836
4908	384	12664
6204	-888	13588
6264	-704	13536
5488	-932	12328
7296	-3144	14244
7148	-2676	13404
9108	-1360	12584
7628	520	12100
6648	-428	12004
8940	-2108	12928
9928	-1752	12704
9264	-1620	12120
9044	-1200	12208
9144	-740	11844
7744	-1972	11508
10232	-604	10960
11516	-1264	11504
9308	-2448	11016
10344	-2736	10968
12868	-652	10300
12528	-744	9868
11908	-852	9720
10636	-1904	9488
12356	-2400	9928
11356	-2232	9312
13604	-716	8484
12352	680	7908
12672	-928	8536
11568	-3700	9576
15116	-2816	8880
14204	-652	6888
11752	-296	6468
13144	-476	8004
14344	-1744	8076
15404	-2268	8472
15384	-1752	7288
14076	-636	6260
13728	268	6792
12568	-1644	7380
15680	-876	6512
15600	-1016	6344
15984	-820	6528
15456	-948	6684
14968	-1332	7292
15832	-616	6604
15356	-264	6288
15876	-128	6604
13980	-2040	7444
14400	-3696	7684
13616	-1388	7440
14592	-1568	7308
13660	-1340	7744
12016	-1152	7992
16120	356	6892
13260	-932	9604
11268	-1132	8304
12292	-968	9532
10888	-1108	9508
10576	-580	12460
11164	-68	11304
11092	268	10956
9544	208	11364
9944	-1892	10468
10188	408	11972
10400	-1368	13632
9100	-1576	13476
2996	-2740	15000
2064	-3976	11536
11100	-6436	8112
6460	-1188	14564
4848	624	16572
3612	-332	15012
2376	-1188	12848
1104	-1260	13016
1952	-1072	14292
264	-672	15132
596	-880	16516
992	-896	15972
-184	-1900	13704
-1852	-2444	12420
-1852	-2508	14044
-1176	-2132	14496
-2108	-2424	13424
-2300	-1744	14292
-5212	-2324	12312
-5296	-2776	13820
-4860	-1032	14416
-3784	-3192	12584
-5696	-2440	13812
-6880	-3328	13044
-4944	-1100	11044
-6812	-1996	12648
-3496	-4256	240
-6728	-2540	11644
-8136	-1480	13108
-8156	-1456	12744
-8384	-1880	10844
-8296	-1148	11544
-8676	-1436	12104
-8880	-1716	11360
-9744	-2028	9212
-10532	-1952	9884
-11348	-1792	10304
-10952	-1616	9240
-10160	-1856	8096
-11644	-1376	8840
-12748	-1500	8768
-12888	-1704	8684
-12592	-2076	8560
-12464	-2300	7588
-12244	-2008	8816
-12560	-1340	7892
-12712	-1228	9724
-12220	-660	10260
-12016	-664	10144
-10936	-840	10420
-10200	2020	12072
-10104	-8	12700
-8068	-116	10456
-8260	-1820	9788
-6484	-1436	11148
-5800	-80	13528
-5896	372	16028
-3824	336	15984
-1336	-1336	10376
-1216	-1608	10244
-728	-168	14816
156	-12	15456
1056	348	17412
1456	-172	14120
2316	-1192	12536
3824	-436	13584
3664	-60	13652
5300	-384	13624
5408	112	14908
6940	-172	14552
5412	-400	12580
7412	-708	10572
8732	-728	11712
9288	-180	12632
9128	-212	12788
9164	-732	11608
11596	-340	8976
10772	-656	9156
7316	-596	13748
13100	96	10204
15184	-784	8612
13472	-928	10076
10272	-548	11292
10020	-1344	9044
12980	220	9984
13684	432	7580
13064	844	8852
15772	524	6324
14252	896	7220
13092	-920	7684
13792	-660	6776
14736	-940	6624
15516	-1304	6316
16476	-1272	5848
16588	-1364	6240
15488	-1024	6396
14304	-352	5832
14344	-408	5208
15036	-748	5316
15740	-744	5472
16536	-1024	6688
15044	-1852	5804
15460	-1676	6544
14588	-1352	6528
14672	-1064	6732
13788	-612	7300
13712	-1056	8352
15268	-884	9728
13272	-100	9232
11916	-148	9252
9528	-620	8576
10160	348	10184
11916	-644	11680
12104	-5604	4736
10944	-720	11596
6120	-2656	8664
6540	-1288	9544
7556	-748	13932
8020	452	15224
7288	-468	13132
5080	-356	12844
3352	-612	11044
4324	-1036	11544
3140	-3400	9880
284	1244	16628
-24	832	15220
-2836	620	14796
-3028	-1320	12964
-1700	272	13656
-3196	-724	13508
-4188	-16	12960
-4304	1968	16356
-6196	-1376	10456
-6724	360	13972
-7888	1728	14052
-9456	-172	11668
-6536	2168	7156
-4944	2580	9708
-9312	1192	10140
-9320	1608	10676
-10904	1960	10324
-12596	2224	10576
-12912	1736	9016
-11644	1016	7736
-11476	1400	8372
-13024	3188	10924
